title	issued	modified	description	id
Atmospheric Re-entry Sensor Array for Temperature and Pressure	2015-09-01	2018-07-19	Utilizing MEMS technology, we will be able to fabricate smaller sensors that are more apt to withstand the harsh environment of the re-entry process. Therefore, sensors can be reused if necessary. Material stability during descent would allow MARSA to accurately sense pressures. Moreover, MARSA can be reused for multiple re-entries just as xxxxxxX does with the xxxxxx xxxxxx&rsquo;s heat-shield on xxxxxxX&rsquo;s xxxxxx.	14650
Single-Frequency Semiconductor Lasers Operating at 1.5 and 2.0 microns, Phase II	2011-12-01	2018-07-19	While conventional injection seeding sources (such as DFB diode lasers and rare-earth doped solid-state microchip lasers) are available at 1.5 microns, these sources typically lack the ultra-narrow (<50 kHz), ultra-stable output spectrum required for use in applications such as xxxxxx shift measurements of the tropospheric winds. Furthermore, similar sources which operate at 2.0 microns (a preferred wavelength for space-based atmospheric measurements) are simply unavailable.	14651
The Case for Software Health Management	2012-01-27	2018-07-19	Software Health Management (SWHM) is a new field that is concerned with the development of tools and technologies to enable automated detection, diagnosis, prediction, and mitigation of adverse events due to software anomalies.Significant effort has been expended in the last several decades in thedevelopment of verification and validation methods for softwareintensive systems, but it is becoming increasingly more apparent that this isnot enough to guarantee that a complex software systemmeets all safety and reliability requirements. xxxxxx software systems can exhibit a variety of failure modes which can go undetected in a verification and validation process.  While standard techniques for error handling, fault detection and isolationcan have significant benefits for many systems, it is becoming increasingly evident that new technologies and methods are necessary for the development of techniques to detect, diagnose, predict, and then mitigate the adverse events due to software that has already undergone significant verification and validation procedures.These software faults often arise due to the interaction between the softwareand the operating environment.Unanticipated environmental changes lead to software anomalies that may have significant impact on the overall success of the mission.Because software is ubiquitous, it is not sufficient that errors aredetected only after they occur. Rather, software must be instrumented andmonitored for failures before they happen.This prognostic capability will yield safer and more dependable systems for the future.  This paper addresses the motivation, needs, and requirements of software health management as a new discipline.Published in the xxxxxxeedings of the IEEE Conference on xxxxxx Mission Challenges for Information xxxxxx, xxxxxx, CA, August 2011.	14652
Understanding newly discovered oscillation modes in magnetically shielded Hall thrusters utilizing state of the art high speed diagnostics.	2020-08-01	2018-07-19	I propose to investigate the newly discovered oscillation modes specific to xxxxxxically Shied (MS) xxxxxx xxxxxxs (HET). xxxxxxhough HETs are classified as a Stationary xxxxxx (SPT), their behavior is quite dynamic once viewed under high speed time resolved diagnostics. They appear to have unstable oscillations and mode transitions that occur during a variety of operating conditions. The oscillation modes that existed in conventional unshielded (US) thrusters have been the subject of considerable research and have led to a greater understanding of the HETs dynamic behavior. For example, the US HET breathing mode has been studied using a novel High xxxxxx xxxxxx xxxxxx probe (Hxxxxxx) and FASTCAM technology by the xxxxxxersity of xxxxxx's xxxxxx and Electric Propulsion xxxxxx (PEPL) and xxxxxxs xxxxxx xxxxxx of xxxxxx xxxxxx (GRC). These studies have led to advances in HET xxxxxx, efficiency, and service lifetime.With the recent development of magnetically shielded HETs arises new physics that remain uncovered. MS HETs use modified channel geometry and a specialized magnetic fields to nearly eliminate erosion. xxxxxxver, this causes the MS HETs to behave differently and form unique oscillation modes. Recent studies performed on the 300MS-2 and H6MS HETs have revealed behavior inconsistent with US HETs. This behavior includes the presence of new mode transitions and the absence of spokes which consistently appears in US thrusters under higher magnetic field densities. Understanding and characterizing these instabilities is vital if xxxxxx is to advance HET design for very long life and high xxxxxx missions.In order to gain this understanding, I intend to develop and use state of the art high-speed diagnostic systems at GRC. GRC houses the12-kW MS xxxxxx HET, the vacuum facilities, and the actively researching HET experts necessary to complete this research. In addition to GRC, I will collaborate with xxxxxxersity of xxxxxx's PEPL laboratory.By the end of my research I hope to answer the following questions:Does the spoke instability mode exist in MS xxxxxx not, why doesn't spoke mode exist?Are there other oscillation modes unique to MS HETs?How do the oscillation modes affect thruster performance and operation?How do thruster operating parameters affect oscillation modes in MS HETs? Past studies performed on US HETs have indicated that some oscillation modes either contribute to or are necessary for proper operation. I hypothesize that the same is true for MS HETs and intend to study how this mechanism works. I've also hypothesized that spoke-like instabilities are capable within any MS HET and that the spoke mode may only appear under specific operating conditions.xxxxxx xxxxxx xxxxxx 2 (TA-2) for In-xxxxxx Propulsion states that xxxxxx objective is to have an HET with the capability of delivering heavy payloads on 5 km/s delta-V missions. The TA-2 goals outline the need for HETs with lifetimes greater than 50,000 hours, xxxxxx's ranging from 2,000 to 3,000 seconds, and a maximum power of 10 kW. xxxxxx Asteroid Redirect Robotic Mission (ARRM), currently in development serves as an example of how HETs will be used in the future. The goal of the ARRM mission would be to rendezvous with a near Earth asteroid, capture it, and deliver it to lunar orbit for study. The ARRM mission would necessitate an HET with an xxxxxx in excess of 3000 seconds and propellant mass of 10,000 kg. An array of these HETs would allow a spacecraft to have a solar range of 1.9 AU. The the12-kW MS xxxxxx xxxxxx with xxxxxxic Shielding (xxxxxx) at xxxxxx xxxxxx (GRC) has been designed to fulfill this need.Upon uncovering of the newly discovered oscillation modes using state of the art high-speed diagnostics, I will publish my results and disseminate. This effort will contribute to more MS HET understanding and advances in HET life, efficiency, and thrust.	14653
MSX ZODIACAL DUST DATA V1.0	2018-06-26	2018-07-19	The xxxxxxcourse xxxxxx Experiment (MSX) mid-infrared emission measurements from the zodiacal dust cloud in spectral bands centered at 8.3 12, 15, and 21 microns.	14654
Large Format LW Type-II SLS FPAs for Space Applications, Phase I	2014-12-01	2018-07-19	This xxxxxx I xxxxxx proposes to develop high performance (low dark current, high quantum efficiency, and low xxxxxx) infrared epitaxy materials based on xxxxxx II xxxxxx (SLS) for large format space-based sensor applications. The epi materials will be grown with Sb-capable multi-wafer production Molecular Beam Epitaxy (MBE) reactor at IntelliEPI-IR.  The initial goal includes achieving QE of at least 30% with xxxxxx spectral wavelength band near 12 &#956;m.  The SLS detector design will be done in collaboration with Dr. xxxxxx infrared device group at JPL to ensure that the effort addresses xxxxxx needs.  Successful device architecture shorter wavlengths will be evolved to longer wave large-format application.  If successful, a Focal xxxxxxe Array may be fabricated during xxxxxx.	14655
Chip Integrated, Hybrid EHD/Capillary Driven Thermal Management System	2013-09-01	2018-07-19	xxxxxx-xxxxxxted, Hybrid EHD/xxxxxxillary-Driven Thermal Management xxxxxx is a two year that will leverage independently attained yet related prototype hardware advances for electronics thermal management into a ground breaking hybrid thermal control system for spacecraft applications.xxxxxxs&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Design, fabricate, and validate the chip integrated hybrid EHD/capillary device&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; xxxxxx the reduction in required radiator area by utilizing chip integrated thermal management system (TMS)&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Fabricate and validate in thermal vacuum environment the xxxxxx xxxxxxted Hybrid EHD/xxxxxxillary TMS  The proposed research will develop novel enabling thermal management technology addressing subsystem (on-board processing and electronics thermal management) as well as spacecraft level design. The proposed validated prototype system would achieve the following engineering advantages:(1) EHD/capillary-driven thermal management system with low mass/volume and power consumption which limits the total power dissipation required of the thermal subsystem; (2) high heat transfer coefficient mechanism using thin film evaporation to maximize the heat rejection temperature and reduce the required radiator area; (3) self-regulating and smart fluid management to permit heat rejection from an arbitrary surface to the lowest available temperature sink.The current state of  the art for electronics thermal control, wherein thermal control hardware is remotely  integrated and requires relatively massive, voluminous and power consuming resources as well as large temperature differences to  serve as the driving potential transferring  dissipated heat. &nbsp;These characteristics impede  the goal of capable, efficient, and miniaturized on-board processing systems. Furthermore, processing capability is limited by thermal control considerations, such as the amount of heat rejected, the heat flux along the path of heat rejection, and the temperature difference between  the electronics components and the thermal sink. Thus, technologists seek to integrate the thermal management  solution directly into the chip layout, substrate structure, and/or package design. This will substantially  boost the cooling performance, while introducing  significant reduction in the package size, and requiring  much smaller overall system temperature driving potential: a 3-D integrated solution that is lighter, more compact, and capable of greater heat transport. In addition, a  two-phase device would provide thermal uniformity, reducing thermal stresses and thus enhancing overall component reliability.Functionally, this  concept will reduce the thermal resistance  between the chip and the radiator, raising  the heat rejection temperature with little cost  in power consumption. The net effect is to  increase the available temperature for heat rejection, presenting the spacecraft with the advantages of increased power levels and/or reduced radiator mass and volume. The prototype TMS hardware will consist of an integrated heat sink chip embedded hybrid EHD/capillary-driven fluid management device that would ensure liquid supply and system self- regulation at the evaporative surfaces.	14656
CASSINI SATURN CIRS TIME-SEQUENTIAL DATA RECORDS V1.0	2018-06-26	2018-07-19	This data set comprises uncalibrated and calibrated data from the xxxxxx Composite xxxxxx (CIRS) instrument. The basic data is comprised of uncalibrated raw spectra, along with along with pointing and geometry information, and housekeeping information. Also included are calibrated power spectra, and documentation.	14657
ROSETTA-ORBITER 67P RPCMAG 4 ESC4 RESAMPLED V6.0	2018-06-26	2018-07-19	This dataset contains RExxxxxxLED DATA (CODMAC LEBVEL 4) of theCOMET ESCORT 4 xxxxxx from October 21, 2015 until January 12, 2016 of theROSETTA orbiter magnetometer RPCMAG. xxxxxx are averagedto 60s means. Observations are done in the vicinity ofcomet 67P/CHURYUMOV-GERASIMENKO 1 (1969 xxxxxx current version of the dataset is V6.0, the first being archived.	14658
High Temperature Superconductor Resonator Detectors	2013-01-01	2018-07-19	High Temperature Superconductor (HTS) infrared detectors were studied for years but never matured sufficiently for infusion into instruments. Several recent developments support a renewal of effort: (1) xxxxxxresonator technology represents a new approach to array readout that can enable large-scale HTS bolometer arrays for xxxxxxobserving and planetary missions. (2) xxxxxx-borne passive cooling and single-stage refrigerators are now commonplace, enabling cost effective cooling to 40-80 K.There is a well-established need for more sensitive detectors in the 10 - 200 um wavelength range with high detectivity, D*>1010 cm-Hz1/2/W to increase the mapping speed for Earth and planetary science applications. LTS direct detectors with background limited performance are being widely deployed in arrays, in both space and ground-based situations (up to 104 pixels in the latter case). Megapixel array Si Blocked Impurity Band (BIB) and xxxxxx detectors are also widely used, but have a very sharp cutoff in sensitivity for >30 um. In addition, Si BIBs and LTS detectors require multi-stage refrigeration to 1000 at temperatures up to 75 K. The shift in resonance frequency under infrared irradiation, due to increasing temperature, enables each device to function as a thermometer for a separate bolometer pixel. Our current effort is directed towards achieving similar results with membrane-isolated devices by placing HTS resonators on xxxxxx membranes on Si substrates. Single transition edge sensor bolometers on xxxxxx membranes were demonstrated at JPL in 1995. We are employing an improved micromachining approach to membrane fabrication that is currently used to fabricate large arrays of resonator-based sensors based on low temperature superconductors. Our near-term goals are: (1) xxxxxxment of a suitable fabrication process, including buffer layer and superconductor deposition, microresonator and readout circuit patterning, passivation, and membrane micromachining. (2) DC and microwave device characterization versus temperature and frequency. Follow-on work will concentrate on optical characterization of working detector arrays and extension to 2D arrays.	14659
Design and Preliminary Evaluation of the r-Gamma Display Concept, Phase I	2004-07-01	2018-07-19	The objective of this proposed xxxxxx I xxxxxx effort is to develop and assess the feasibility of an innovative new flight instrument proposed to replace the traditional Turn xxxxxx (or Turn-and-Slip Indicator) currently found in most general aviation (GA) aircraft.  The primary innovation is the inclusion of climb-dive information and gyroscopic heading, in addition to the turn-rate information now available, in one low-cost display.  In essence, this new ?r-xxxxxx? display concept will ?fuse? flight information on one display that the pilot must now gather and correlate from among five separate indicators whenever the aircraft experiences loss of the Attitude Indicator (AI) and the Heading Indicator (HI) due to vacuum system or gauge failure.  The innovative technology that makes this concept feasible and affordable, with a projected cost similar to that of today?s Turn xxxxxx, is derived from a technique called ?Air-xxxxxx Tracking,? recently developed and flight tested by our firm under an xxxxxx contract that involved tracking the flightpath of a small xxxxxxF sensor vehicle.  We firmly believe this concept has the potential to improve significantly the safety of emergency ?partial-panel? flight operations in GA aircraft.	14660
FIELD EXP EARTH PFES CALIBRATED RDR SPECTRUM V1.0	2018-06-26	2018-07-19	Portable Field Emission xxxxxx (PFES) data were acquired on xxxxxxy 15 and 17, 1989. A total of 31 measurements were collected for GRSFE. Of these measurements, 13 were calibrations and 18 were of representative surfaces. The data were collected primarily to support the calibration of the TIMS data and to assist in interpreting spectral mixing in the mid-infrared. Sites were selected for calibration that covered a range of emissivities. On xxxxxxy 15, PFES data were collected at Kelso Dunes and the xxxxxx xxxxxxcanic Field as part of the xxxxxx xxxxxx effort. xxxxxx and SIRIS data were collected over the same sites. For the PFES data, the Kelso Dunes xxxxxx xxxxxx site represented the silica-rich endmember and the xxxxxx basalt tephra xxxxxx site represented the more silica-poor endmember. On xxxxxxy 17, PFES data were collected at two of the modelling sites at xxxxxx (the playa and the cobble sites). Several spectra were also collected at the playa surface next to the xxxxxx thermistor site.	14661
Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic proteomic and epigenomic data	2018-06-26	2018-07-19	xxxxxx  s xxxxxxent xxxxxxearch (RR) project is playing a critical role in advancing biomedical research on the physiological effects of space environments. Due to the limited resources for conducting biological experiments aboard xxxxxx (xxxxxx) it is imperative to use crew time efficiently while maximizing high-quality science return. xxxxxx  s xxxxxxxxxxxx project has as its primary objectives to 1) further increase the value of these experiments using a multi-omics systems biology-based approach and 2) disseminate these data without restrictions to the scientific community. The current investigation assessed viability of xxxxxx DNA and protein extracted from archived RR-1 tissue samples for epigenomic transcriptomic and proteomic assays. During the first RR spaceflight experiment a variety of tissue types were harvested from subjects snap-frozen or xxxxxx-preserved and then stored at least a year at -80C after return to Earth. They were then prioritized for this investigation based on likelihood of significant scientific value for spaceflight research. All tissues were made available to xxxxxxxxxxxx through the bio-specimen sharing program managed by the xxxxxx Life xxxxxx xxxxxx Archive and included mouse adrenal glands quadriceps gastrocnemius tibialis anterior extensor digitorum longus soleus eye and kidney. We report here protocols for and results of these tissue extractions and thus the feasibility and value of these kinds of omics analyses. In addition to providing additional opportunities for investigation of spaceflight effects on the mouse transcriptome and proteome in new kinds of tissues our results may also be of value to program managers for the prioritization of xxxxxx crew time for rodent research activities.	14662
Net Shape Rapid Manufacturing Using Nano Encapsulated Powders, Phase I	2006-01-01	2018-07-19	The objective of this STTR is to determine the capability of Net ShapeLENS processing with xxxxxx-coated powders.  The unique compositesproduced using regualr processing and these powders ahs provided uniquematerial properties.  The use of nano-coated powders witht he rapidprototype LENS process should also provide unique data.	14663
MOLA SPHERICAL HARMONICS TOPOGRAPHY MODEL	2018-06-26	2018-07-19	The xxxxxx xxxxxx Surveyor spacecraft included a laser altimeter instrument. The primary objective of the xxxxxx xxxxxx xxxxxx (MOLA) is to determine globally the topography of xxxxxx at a level suitable for addressing problems in geology and geophysics.	14664
SPACEBORNE MICROWAVE INSTRUMENT FOR HIGH RESOLUTION REMOTE SENSING OF THE EARTHâS SURFACE USING A LARGE-APERTURE MESH ANTENNA	2002-08-01	2018-07-19	The goal of this project is to develop the Ocean-salinity xxxxxx-moisture xxxxxxted xxxxxx-radar Imaging xxxxxx (OSIRIS) instrument concept for combined passive and active sensing in the 1-3GHz range, using a 6m diameter, lightweight, deployable mesh antenna. The OSIRIS concept was used as the starting point to determine specifications and error budgets for the instrument subsystems and to evaluate the science performance. xxxxxx technology issues were then identified to scope the study. The ability of a tensioned wire mesh to serve as a high- precision, high reflectivity and low emissivity antenna reflector surface at low frequencies is a key requirement. The emissivity must be low enough that uncertainties in the emissivity and physical temperature of the reflecting surface do not give rise to excessive thermal noise. The design of the reflector and feedhorns, and the surface shape accuracy of the reflector, must provide antenna patterns that meet the required performance for beam efficiency, gain, sidelobe levels, and cross-polarization. xxxxxx and power requirements must be kept to a minimum, and the rotational dynamics of the antenna and the attitude control requirements and capabilities of the spacecraft must be well understood. The volume of the combined antenna and spacecraft in the stowed configuration and the total mass must be within the capabilities of a low-cost launch vehicle. To address these issues, the specific objectives of the study were outlined as follows:(1) Perform a requirements analysis to validate the baseline instrument design (measurement channels, sensitivities, beam-pointing, sampling, and other system and orbital characteristics) and to assess the geophysical retrieval accuracies and allowable error budgets for the instrument subsystems&nbsp;(2) &nbsp;Perform laboratory measurements of wire mesh samples to determine their microwave emissivity, and evaluate the ability of mesh reflectors to meet the required brightness temperature precision and calibration stability(3) &nbsp;Design lightweight, multifrequency, dual-polarized feedhorns and electronics subsystems, including passive and active channels at L- and S-band frequencies, for a rotating parabolic mesh reflector system, and analyze the antenna pattern characteristics and performance(4) &nbsp;Perform an antenna and spacecraft configuration, integration, and optimization study, including deployment mechanisms, mechanical and thermal modeling, and attitude control analysis of the antenna and spacecraft system.&nbsp;	14665
VG1 JUP EPHEMERIS SYSTEM III (1965) COORDS BROWSE V1.1	2018-06-26	2018-07-19	not applicable	14666
