title	issued	modified	description	id
Silicon Carbide Printed Structures	2018-09-01	2018-07-19	The plan is to design a process that will allow precision fabrication of xxxxxx structures using a sterolithographty printer and an oven process to sinter the material to meet our space flight requirements, using similar techniques that I have used in the past working with a local vendor. &nbsp;In the past, we created a process that allowed us to fabricate complex (but un-machinable) precision alumina oxide parts that flew on space flight projects.&nbsp; The plan for this IRAD is to develop a similar process that works with xxxxxx. &nbsp;This technology can be used for many applications; one is as an optical support structure for the xxxxxx project.&nbsp; The xxxxxx&nbsp;project has already been testing different materials that would provide a structure with a very low (stable) CTE and have good thermal conductance to assure accurate measurements over the project specified time.&nbsp; Tests by the xxxxxx project have shown that xxxxxx would be an optimum material.&nbsp; xxxxxxver, working with xxxxxx (like Alumina Oxide) has shown that it is very difficult to fabricate parts. &nbsp;&nbsp;We would like to work with a local vendor to source a sinterable xxxxxx powder and resin formulation.&nbsp; This material will be (3D printed) laser photo-cured to produce a green structure that can be de-binded followed by a sintering process.&nbsp; Using sintering methods, we will iterate these processes to remove macro defects.&nbsp;&nbsp; The goal of this proposal will be to build samples for visual inspection and to test CTE and strength.&nbsp; Test parts will be tested in our GSFC code 544 labs, and the CTE tests will be conducted by the xxxxxx project (already existing test setup).	13300
Multiscale GasKinetics/Particle (MGP) Simulation for Rocket Plume/Lunar Dust Interactions, Phase I	2010-01-01	2018-07-19	A xxxxxxscale GasKinetic/xxxxxx (MGP) computational method is proposed to simulate the plume-crater-interaction/dust-impingement(PCIDI) problem.  The MGP method consists of a multiscale gaskinetic (MG) method for gasdynamics of rocket plume-in-vacuum flowfield, an Overlay method for gas-particle interaction.  MG combines BGK Gaskinetics (BGK) and direct simulation xxxxxx (xxxxxx) methods with a domain decomposition technique to account for various scales of rarefied gasdynamics, covering continuum to free-molecular regimes. The dust particles are modeled by an additional distribution function in BGK, thus carried by the MG-generated flowfield through an overlay method. Dust properties are to be modeled using xxxxxx Element xxxxxx (DEM) simulation, which will lead to comprehensive continuum equations for crater formation. xxxxxx will extend the present MGP method to 3D, with more advanced dust particle properties and complex crater formulation.	13301
CASSINI HIGH RATE DETECTOR V7.0	2018-06-26	2018-07-19	The High Rate xxxxxxor (HRD) from the xxxxxxersity of xxxxxx is an independent part of the CDA instrument on the xxxxxx that measures the dust flux and particle mass distribution of dust particles hitting the HRD detectors. This data set includes all data from the HRD through Dec. 31, 2009. Please refer to xxxxxx. (2004) for a detailed HRD description.	13302
CALIPSO Lidar L2 1 km Cloud Layer Data V3-01	2018-06-25	2018-07-19	xxxxxx and xxxxxx xxxxxxfinder xxxxxx Observations (xxxxxx) was launched on April 28, 2006 to study the impact of clouds and aerosols on the xxxxxx radiation budget and climate. It flies in formation with five other satellites in the international “A-Train” (PDF) constellation for coincident Earth observations. The xxxxxx satellite comprises three instruments, xxxxxx with Orthogonal Polarization (CALIOP), the Imaging xxxxxx xxxxxx (IIR), and the xxxxxx Camera (WFC). xxxxxx is a joint satellite mission between xxxxxx and the French Agency, CNExxxxxxse data consist 5 km aerosol layer data.	13303
Fault-Tolerant Precision Formation Guidance for Interferometry, Phase I	2006-07-01	2018-07-19	A methodology is to be developed that will allow the development and implementation of fault-tolerant control system for distributed collaborative spacecraft.  The objective is to ensure that the cluster of spacecraft continue to meet high precision performance objectives in the presence of system faults and uncertainty.  The proposed innovation is the development of a fault-tolerant control system for distributed spacecraft.  The development process begins with fault-tolerant control system architecture and then the analysis of its performance.   The essential elements of this proposed fault-tolerant control system architecture are:     The fault detection filters and parity equations that generate residuals (the difference between the actual measurement and the estimated value)  with      important geometrical properties that enhance fault detection and identification.     The residual processor that takes these corrupted residuals and announces a fault with a given probability of false and miss alarm in minimal time.     A fault reconstruction system that estimates the fault magnitude once the fault has been identified.     A distributed control system that reconfigures based on the particular fault and the fault magnitude.	13304
BeatMark Software to Reduce the Cost of X-Ray Mirror Fabrication by Optimization of Polishing and Metrology cycle, Phase II	2018-05-01	2018-07-19	For xxxxxx optics, polishing the mirrors is one of the most costly steps in the fabrication of the system.  BeatMark software will significantly decrease the cost of xxxxxx mirror production. BeatMark will allow for parametrization of surface metrology data, which will be used as feedback for polishing parameter optimization and metrology experiment planning. By providing the parametrized optical surface description, BeatMark will optimize the costly polishing-and metrology cycle and enable numerical simulation of the performance of new xxxxxx mirrors performed by xxxxxx. BeatMark will help fulfill the requirements for sophisticated and reliable information about the expected surface slope and height distributions of prospective xxxxxx optics before the optics are fabricated. As we demonstrated in xxxxxx I, an optical surface can be thought of as a stationary uniform stochastic process and modeled with optimal Invertible Time xxxxxxiant Filters (InTILF). It was further shown that the modeling of one-dimensional (1D) slope measurements allows highly confident fitting of the xxxxxx mirror metrology data with a limited number of parameters and a 10-15% reduction of required length of metrology profiles.  Theoretically, a reduction of 50% is possible.  In xxxxxx, we will conduct field tests to assess what reduction in metrology is practical and implementable. With the parameters of the InTILF model developed in xxxxxx I, the surface slope profile of optics with a new specification can be forecast reliably. BeatMark will also process 2-D metrology data and provide a polishing optimization method, based on analysis of the mirror quality response to the polishing parameters. Our xxxxxx I studies indicated that the optimal InTILF modeling describes the mirror surfaces with very few filter parameters and high spectral accuracy.	13305
Digital mMirror Device Flight Spectrometer	2017-07-01	2018-07-19	The TI xxxxxx spectrometer xxxxxx (BOM) and schematics are available with the purchase of the TI xxxxxx® NIRscan™ xxxxxx (EM). We propose to acquire a NIRScan EM and review the BOM and schematics for application to flight; including considering for relevant environments and reliability. The result would be the development of a plan to take the instrument to a flight design using a xxxxxx flight instrument development program (e.g., xxxxxx).This proposed task would evaluate the acquired NIRspec EM with a sensor that is sensitive to longer wavelengths. The Inxxxxxx detector in the COTS instrument will be replaced with a xxxxxx (MCT) sensor and the diffraction grating changed. Performance of the system will be evaluated through wavelength calibration and total throughput. All testing will be performed using existing hardware. The current optical system, which doesn’t retain the entrance slit image at the xxxxxx, will be redesigned such that the slit is imaged on the xxxxxx and then this image collimated and focused onto the sensor. In this configuration the instrument becomes a very flexible hyperspectral instrument, with programmable selection of spectra from a specified portion of an imaged location or from a specific range of wavelengths or spectral resolution.	13306
Development of Millimeter Imaging Technologies	2015-08-01	2018-07-19	One of the most important physical discoveries, and largest surprises, over the past decade has been the discovery of the mysterious, so-called dark energy. This dark energy is responsible for the rapid acceleration of the expansion of the universe, originally inferred through the observations of supernovae. Observations of the cosmic microwave background (CMB) provide a method of constraining the dark energy, in addition to providing a wealth of information about other important cosmological parameters. Specifically, in recent years, the development of highly-sensitive instrumentation on orbital and ground-based platforms, including WMAP, xxxxxx, and SPT, have allowed for unprecedented measurements and mapping of the CMB, yielding major advances in our understanding of the characteristics and shape of the universe, the nature of the baryonic matter, and the growth of large scale structure. In spite of these advances, however, many further mysteries remain locked within future characterization of the CMB, most notably including direct probes of dark matter and energy.To address these scientific initiatives, I will engage in high-resolution observations of the CMB, through the development and deployment of a novel, polarization-sensitive receiver for the Atacama Cosmology xxxxxx (xxxxxxpol). In its own right, xxxxxxpol will be a next-generation facility to upgrade current instrumentation on one of the highest altitude, permanent-structure, ground-based observatories in the world, xxxxxx. Specifically, it is this transition from xxxxxx to xxxxxxpol instrumentation development and science to allow for measurement of CMB polarization, directed by a multinational research collaboration, which is the critical focus of my graduate-level research in the group of xxxxxx, my academic faculty advisor at the xxxxxxersity of xxxxxx (Penn).That the scope of this work will allow for long-term critical technology development on a ground-based platform is of particular importance to future xxxxxx-supported CMB polarization orbital missions. Much in the same way that the development of suborbital missions such as TOCO and xxxxxx led to the ultimate success of orbital missions such as WMAP and xxxxxx, respectively, the instrumentation development of xxxxxxpol will allow for field-tested, systems level technology development, and drive the ultimate scientific objectives of a future satellite CMB polarization mission. As a result, the reach of this program of research will reside within a critical framework of design, implementation, and characterization of xxxxxxpol instrumentation as it will support advances in the technical readiness levels of technologies that will fly on future orbital platforms fielded by xxxxxx. This phase of my research will be conducted in close partnership with personnel at the xxxxxx xxxxxx (GSFC) in xxxxxx, MD, under the direct advisement of GSFC astrophysicist, xxxxxx, who has a strong tradition of partnership with detector development for the xxxxxx collaboration. In particular, the cryogenic, detector, and interface electronics that I will develop on xxxxxxpol will support a myriad of near-term xxxxxx science technology directives. These science area programs include the xxxxxx xxxxxxment for xxxxxxics of the Cosmos Program supporting the Technologies for CMB Polarization Measurements and dark matter detection directives, as well as the xxxxxx xxxxxxment for the xxxxxx Program to strengthen research into mission enabling technologies, including high-sensitivity millimeter wavelength detectors, in this case transition edge sensitive (TES) detectors, and advanced normal incidence optics, with a particular focus on the fielding of dilution refrigerator cooled cryogenic optics with novel xxxxxxreflective coatings. This proposal documents the efforts to support these initiatives through the development of advanced millimeter imaging technologies.	13308
Innovation Center Smart Light for Enhancing Creativity	2014-09-01	2018-07-19	Recent literature has documented that exposure to different types of light affect circadian rhythms, problem solving ability and creativity. xxxxxx upon these findings, xxxxxx has been exploring different types of lighting for astronaut health well-being and function. In this project, a set of large floor &ldquo;smart-lamps&rdquo; will be designed and constructed so that illumination can be adjusted, depending upon the need. Unlike conventional lamps, these lamps will have color-changing xxxxxx Emitting Diodes (LEDs), and the colors will be controlled by input from a smartphone. These lights will be deployed and evaluated in the xxxxxx SSC xxxxxxovation Center. Additionally, an efficient diffuser will be used to eliminate the point source emissions of LED light sources and produce a pleasant diffuse illumination. A novel light controllable &ldquo;smart-lamp&rdquo; will have utility in a multitude of studies that look at the effects illumination has upon human productivity. The purpose of this project is to develop a spectrally adaptable floor-stand smart-lamp. Intelligently mixing different narrow band color light sources can produce a wide range of light quality which can affect human performance. This smart-lamp will be designed and constructed so that illumination can be adjusted, depending on the need. xxxxxx color xxxxxx Emitting Diodes (LEDs) will be used as the light source, and illumination and individual color brightness will be controlled by a micro-computing device that will have the capability to adjust light levels based upon the need. An efficient diffuser will be used to eliminate the point source emissions of the LED light sources, mix the individual colors and produce pleasant diffuse illumination.	13309
CASSINI RSS RAW DATA SET - SAGR13 V1.0	2018-06-26	2018-07-19	The xxxxxx Radio xxxxxx xxxxxx Gravity xxxxxx Experiment (SAGxxxxxx) xxxxxx xxxxxx Archive is a time-ordered collection of radio science raw data acquired on xxxxxxe 6, 27 and 29, 2012, during xxxxxx.	13310
NEW HORIZONS SDC JUPITER ENCOUNTER V2.0	2018-06-26	2018-07-19	This data set contains Calibrated data taken by the xxxxxx Student Dust Counter instrument during the xxxxxx encounter mission phase.	13311
Multiple Kernel Learning based Heterogeneous Algorithm	2010-09-10	2018-07-19	Paper on this topic has been submitted to KDD 2010.	13312
Advanced Manifolds for Improved Solid Oxide Electrolyzer Performance	2017-07-01	2018-07-19	In late 2013 xxxxxx GRC proposed an in-situ resource utilization (ISRU) experiment on the xxxxxx rover mission. This proposal was one of the two highest‐rated proposals, in part because of the unique design of the GRC Bi-Supported Cell (BSC) solid oxide electrolyzer (SOE) at the core of the ISRU oxygen production module. xxxxxxver, as the team performed pre-phase A work during the first half of 2014, we identified a need to modify the gas manifolds for the SOE stack to reduce stresses on the ceramic components. We began to discuss the potential to switch from a slip-cast manifold fabrication to 3D printing to reduce the number of parts, eliminate sharp corners, allow for more gradual transitions, and enable more efficient flow paths.  The production of oxygen from the carbon dioxide in the xxxxxx atmosphere to produce roughly 23 metric tons of ascent propellant is included in xxxxxx baseline xxxxxx human exploration architecture. The use of SOEs for extracting the oxygen is the leading technology candidate due to its system-level simplicity. xxxxxxver, ISRU technical leaders in the agency still have doubts about ever being able to develop large SOE stacks using the traditional construction. Therefore, they are continuing to consider a reverse-water-gas-shift system as a back-up technology option for the human exploration missions in spite of the SOE system being 85 percent lower mass, 65 percent less volume, and requiring 88 percent fewer components. The demonstration of a robust and efficient manifold will complete the proof-of-concept for the innovative BSC SOE stack design and provide compelling arguments to ISRU leaders to invest further in this GRC technology. The goal is to advance the xxxxxx of the GRC BSC SOE and fuel cell concept to realize performance, mass, and volume advantages of this innovative design for xxxxxx O2 production.	13313
High Speed Photodetector for Terahertz Applications, Phase I	2004-07-01	2018-07-19	The ever increasing volume of the information to be transmitted and processed demands fast communication systems that can fulfill a throughput of 1 Tb/s or even 10 Tb/s. This requires more than 100 times improvement of performance over today?s fiber optic communication systems, and calls for the development of terahertz or femtosecond technologies. xxxxxxlied Quantum xxxxxxs proposes an innovative photodetector for ultrahigh speed or terahertz applications. The success of this program will lead to drastic improvement of device performance in response speed, gain, responsivity and detectivity. xxxxxx I of this program is to demonstrate the proof-of-concept, while xxxxxx will be built on the success of xxxxxx I and seek the commercialization of the technology.	13314
Advanced Epitaxial Lift-Off Quantum Dot Photovoltaic Devices, Phase I	2013-02-01	2018-07-19	We propose to develop a high-efficiency, triple-junction, epitaxial lift-off (ELO) solar cell by incorporating quantum dots (QDs) within the current-limiting subcell. We intend to leverage existing QD epitaxy processes developed by the Rochester Institute of xxxxxx and combine this with xxxxxxLink's expertise in multi-junction cell growth and ELO technology.	13315
Development of New Dielectric NDE Techniques for Spaceflight Materials	2015-08-01	2018-07-19	xxxxxx spectrometry will be performed on select spacecraft materials (i.e. heat shield materials, structural materials and insulating foams) to examine their capacitance and permittivity under controlled humidity. Three types of samples will be tested for each selected material, a dry, defect free sample, samples with known defects and moisture levels, and samples of unknown condition as a test of validity. Tests will be conducted from three microhertz to three gigahertz at temperatures ranging from -160°C to 400°C in order to obtain a full dielectric profile. The complex dielectric spectra acquired will be analyzed using computational modeling in order to determine the fit parameters associated with that material. These dielectric spectra and computational models will be used as the basis for proposals for new capacitance three-dimensional permittivity mapping sensor systems for monitoring structural health, extending a material’s lifetime in high humidity environments (like those of xxxxxx) and in forming improved repair processes.	13316
MARS GLOBAL SURVEYOR RAW DATA SET - MOI V1.0	2018-06-26	2018-07-19	;This data set contains archival raw, partially processed, and ancillary/supporting radio science data acquired during the xxxxxx Orbit Insertion (MOI) phase of the xxxxxx xxxxxx Surveyor (MGS) mission. The radio observations were carried out using the MGS spacecraft and xxxxxxbased receiving stations of the xxxxxx xxxxxxp xxxxxx xxxxxx (DSN). The observations were designed to test the spacecraft radio system, the DSN ground system, and MGS operations procedures; to be used in generating high-resolution gravity field models of xxxxxx; and for estimating density and structure of the xxxxxx atmosphere. Of most interest are likely to be the Orbit xxxxxx File and Original xxxxxx Record files, in the ODF and ODR directories, respectively, which provided the raw input to gravity and atmospheric investigations. The MOI phase extended from xxxxxxember 1997 to xxxxxxh 1999. On orbits 203-266 and 343-571 (approximately April and xxxxxxe-xxxxxxember 1998, respectively) the spacecraft periapsis was especially low giving the highest per-orbit sensitivity to gravity anomalies during the entire mission. xxxxxx were organized in approximately chronological order and delivered on a set of 159 CD volumes at the rate of 2-3 CD's per week. Typical volume of a one-day ODF was 300-400 kB. Typical volume of an ODR was 5-10 MB, and there could be multiple ODR's per day depending on DSN schedules and observing geometry.	13317
Study of Magnetic Nozzle Effects on Plasma Plumes	2015-08-01	2018-07-19	As identified in the xxxxxx In-xxxxxx Propulsion xxxxxxs xxxxxx xxxxxx, an efficient, high specific impulse, in-space plasma propulsion rocket engine is a key enabling technology for furthering xxxxxx goals in exploring the solar system and is one of xxxxxx xxxxxx. To help develop this technology and enable xxxxxx to meet its goals, I propose to study basic plasma flow in a magnetic nozzle, which is a critical technology required to optimize plasma rocket performance. xxxxxxic nozzles are important components of plasma propulsion devices because they help direct plasma flow, convert energy into thrust, and ensure efficient plasma detachment from a spacecraft. Immediate applications of magnetic nozzles include the Variable xxxxxx xxxxxxoplasma xxxxxx (VASIMR), which will be tested on xxxxxx in about five years and is under consideration for enabling future xxxxxx missions, including human exploration of xxxxxx. My study of magnetic nozzle influence on plasma plume dynamics will consist of using the newly formulated xxxxxxo Gas Kinetic xxxxxx (MGKM), based on kinetic theory, with additional development for multiple-species and an experimental study at the xxxxxx A&M xxxxxxersity xxxxxx xxxxxxing and xxxxxx. Using computational models and experimental prototypes, I will study magnetic nozzle performance by varying magnetic field strength and shape, as well as plasma density, pressure, and temperature. These coordinated computational and experimental efforts will allow for a more complete examination of the complex interplay between fluid and electromagnetic forces that affect a plasma in a magnetic nozzle. This research will help improve our knowledge of basic physical processes and provide guidelines for optimal design. The significance of the proposed work is that it addresses xxxxxx need to develop a key technology required for efficient in-space transportation, one that will be absolutely essential for both human and robotic solar system exploration missions in the future.	13318
ASCENDS Lidar: Acceleration and demonstrations of key space lidar technologies	2015-03-01	2018-07-19	N/A	13319
Advanced Ignition System for Hybrid Rockets for Sample Return Missions, Phase I	2017-12-01	2018-07-19	To return a sample from the surface of xxxxxx or any of the larger moons in the solar system will require a propulsion system with a comparatively large delta-V capability due to the magnitude of the gravity well. Consequently, significant propellant mass will be required. While it is technically feasible to generate O2 and CO propellants by electrolysis of xxxxxx from the xxxxxx atmosphere, it will only work on bodies where there is significant xxxxxx in the atmosphere, and the mass of the required infrastructure (electrolyzer, batteries, solar panels) is significant. A recent study has shown that bringing the propellant from Earth is a mass-competitive option. In particular, a hybrid rocket with multi-start capability trades more favorably than either a xxxxxx electrolysis system or a bipropellant system where the propellants are generated on Earth. Using a high-performance hybrid propellant combination and being able to restart the hybrid rocket are the keys. In previous and ongoing work, xxxxxx has demonstrated that electrically heated open-cell silicon carbide foam can be used as an igniter for both monopropellant and bipropellant rocket engines. Due to its low mass and favorable electrical characteristics, the foam can be heated to 1300?C in just two seconds, which enables it to quickly ignite any propellant flowing through it. In this project, the technology will be applied to hybrid rocket engines to give them multi-start capability. A portion of the liquid oxidizer stream (typically oxygen or nitrogen tetroxide) will pass through the foam and be heated such that the high temperature gas leaving the foam will be sufficiently hot to cause spontaneous ignition on contact with the fuel (typically paraffin). Once the engine is ignited, power to the foam heater can be turned off. xxxxxx will design, test, and characterize electrically powered foam heaters and perform ignition testing with paraffin fuel grains.	13320
