topic,sub_topic,dataset_id,topic_confidence
4,"['completed', 'jet-propulsion-labo...']",12417,0.4808326
5,"['completed', 'goddard-space-fligh...']",12418,0.46554133
3,"['mars', 'mars-science-labora...']",12419,0.45321494
6,"['67p-churyumov-geras...', 'international-roset...']",12420,0.48197162
7,"['completed', 'goddard-space-fligh...']",12421,0.45839858
5,"['completed', 'jet-propulsion-labo...']",12422,0.37572172
6,['Error'],12423,0.12501761
6,"['103p-hartley-2-1986-e2', 'epoxi']",12424,0.575461
4,"['completed', 'glenn-research-center']",12425,0.45230186
5,"['completed', 'langley-research-ce...']",12426,0.38192055
6,"['103p-hartley-2-1986-e2', 'epoxi']",12427,0.85414267
7,"['completed', 'johnson-space-center']",12428,0.48069292
4,['completed'],12429,0.6077031
2,"['halley', 'international-halle...']",12430,0.82491
7,"['completed', 'glenn-research-center']",12431,0.7811033
0,"['mars', 'mars-exploration-rover']",12432,0.90276587
5,"['ames-research-center', 'completed']",12433,0.68320066
5,"['67p-churyumov-geras...', 'international-roset...']",12434,0.62296116
6,"['active', 'marshall-space-flig...']",12435,0.30587626
6,"['completed', 'goddard-space-fligh...']",12436,0.40845248
0,"['asteroid', 'support-archives']",12437,0.4409626
4,"['completed', 'goddard-space-fligh...']",12438,0.3749909
0,"['mars', 'mars-exploration-rover']",12439,0.763825
2,"['completed', 'jet-propulsion-labo...']",12440,0.874934
7,"['completed', 'glenn-research-center']",12441,0.5380796
7,"['active', 'jet-propulsion-labo...']",12442,0.90275687
4,"['completed', 'nasa-headquarters']",12443,0.555279
3,"['circulation', 'imagery', 'mapping', 'modeling', 'space-science']",12444,0.7083223
6,"['completed', 'langley-research-ce...']",12445,0.5151486
4,['completed'],12446,0.5408751
7,"['completed', 'kennedy-space-center']",12447,0.52116644
4,"['completed', 'kennedy-space-center']",12448,0.43654025
2,"['geography', 'nen', 'space-science', 'wise']",12449,0.7083304
2,"['completed', 'goddard-space-fligh...']",12450,0.5879062
3,"['completed', 'langley-research-ce...']",12451,0.5900304
4,"['completed', 'langley-research-ce...']",12452,0.48849383
4,"['completed', 'jet-propulsion-labo...']",12453,0.7047992
7,"['ames', 'dashlink', 'nasa']",12454,0.4157258
4,"['completed', 'goddard-space-fligh...']",12455,0.6909605
4,"['active', 'johnson-space-center']",12456,0.6875056
2,"['completed', 'goddard-space-fligh...']",12457,0.48147705
4,"['completed', 'goddard-space-fligh...']",12458,0.6909459
3,"['ames', 'dashlink', 'nasa']",12459,0.79284835
2,"['mars', 'mars-global-surveyor']",12460,0.6260524
3,"['completed', 'kennedy-space-center']",12461,0.5205509
4,"['completed', 'marshall-space-flig...']",12462,0.9116573
4,"['completed', 'glenn-research-center']",12463,0.49175474
1,"['aerosol', 'atmospheric-science', 'climate', 'cloud', 'eos', 'radiation', 'satellite']",12464,0.854112
5,"['active', 'marshall-space-flig...']",12465,0.66674
5,"['completed', 'langley-research-ce...']",12466,0.45726162
2,"['67p-churyumov-geras...', 'international-roset...']",12467,0.85409534
2,"['mercury', 'messenger']",12468,0.53109443
6,"['completed', 'langley-research-ce...']",12469,0.87477404
4,"['asteroid', 'support-archives']",12470,0.70819217
7,"['ames', 'dashlink', 'nasa']",12471,0.824852
5,"['ames-research-center', 'completed']",12472,0.62968796
1,"['completed', 'langley-research-ce...']",12473,0.36231408
0,"['5535-annefrank', '81p-wild-2-1978-a2', '9p-tempel-1-1867-g1', 'next', 'stardust']",12474,0.7812424
5,['completed'],12475,0.76435953
4,"['active', 'goddard-space-fligh...']",12476,0.34648627
6,"['completed', 'wallops-flight-faci...']",12477,0.7537931
4,"['canceled', 'glenn-research-center']",12478,0.5312689
6,"['completed', 'glenn-research-center']",12479,0.6231886
5,"['ames-research-center', 'completed']",12480,0.80012023
3,"['ames', 'dashlink', 'nasa']",12481,0.59117293
1,"['library-construction', 'nucleic-acid-extrac...', 'nucleic-acid-sequen...', 'sample-collection', 'simulated-microgravity', 'timepoint']",12482,0.8008083
2,"['astrophysics', 'space-missions', 'space-physics', 'space-science']",12483,0.12637705
2,"['completed', 'goddard-space-fligh...']",12484,0.7040318
3,"['completed', 'goddard-space-fligh...']",12485,0.30409032
5,"['ames-research-center', 'completed']",12486,0.6381008
3,['Error'],12487,0.52686065
6,"['completed', 'glenn-research-center']",12488,0.77924794
4,"['active', 'glenn-research-center']",12489,0.708208
5,"['completed', 'stennis-space-center']",12490,0.5372485
6,"['completed', 'goddard-space-fligh...']",12491,0.37934738
5,"['comet-sl9-jupiter-c...', 'neptune', 'voyager']",12492,0.38688287
5,"['active', 'jet-propulsion-labo...']",12493,0.68773407
3,"['ames-research-center', 'completed']",12494,0.61920494
5,"['completed', 'nasa-headquarters']",12495,0.87491626
4,"['completed', 'glenn-research-center']",12496,0.82488
0,"['mars', 'mars-exploration-rover']",12497,0.7798979
2,"['completed', 'johnson-space-center']",12498,0.78114206
0,"['mars', 'mars-reconnaissance...']",12499,0.506994
2,"['bioassay_data_trans...', 'feature_extraction', 'grow', 'hybridization', 'image_aquisition', 'labeling', 'nucleic_acid_extrac...', 'p-gse29787-1', 'p-gse29787-2', 'p-gse29787-3', 'p-gse29787-4', 'p-gse29787-5', 'p-gse29787-6', 'p-gse29787-7', 'p-gse29787-8', 'sample-type', 'specified_biomateri...', 'treatment']",12500,0.638642
1,"['completed', 'stennis-space-center']",12501,0.54052556
5,"['completed', 'kennedy-space-center']",12502,0.36592206
1,"['ames', 'dashlink', 'nasa']",12503,0.51638174
5,"['completed', 'johnson-space-center']",12504,0.68509316
1,"['earth-science', 'geodata', 'star-coordinates']",12505,0.65287244
0,"['mars', 'mars-science-labora...']",12506,0.8749795
4,"['completed', 'dryden-flight-resea...']",12507,0.5763192
0,"['ames-research-center', 'completed']",12508,0.44867408
3,"['completed', 'langley-research-ce...']",12509,0.52432346
7,"['jupiter', 'voyager']",12510,0.52231187
2,['voyager'],12511,0.49545288
7,"['completed', 'jet-propulsion-labo...']",12512,0.87492466
5,"['active', 'glenn-research-center']",12513,0.28610796
4,['Error'],12514,0.38279867
5,"['completed', 'georgia-institute-o...']",12515,0.5338912
5,"['completed', 'goddard-space-fligh...']",12516,0.39582893
5,"['completed', 'goddard-space-fligh...']",12517,0.8381502
2,"['geography', 'nen', 'space-science', 'wise']",12518,0.7083304
3,"['completed', 'glenn-research-center']",12519,0.8248185
0,"['mars', 'mars-exploration-rover']",12520,0.7638209
4,"['ames-research-center', 'completed']",12521,0.6588035
5,"['completed', 'langley-research-ce...']",12522,0.36053538
2,"['halley', 'international-halle...']",12523,0.8249162
4,"['completed', 'marshall-space-flig...']",12524,0.47392938
1,"['new-horizons', 'solar-wind']",12525,0.78123826
7,"['active', 'ames-research-center']",12526,0.32708552
4,"['completed', 'johnson-space-center']",12527,0.46041936
4,"['completed', 'johnson-space-center']",12528,0.5324486
3,"['amazon-web-services', 'aws', 'climate', 'earth-science']",12529,0.5245318
3,"['active', 'ames-research-center']",12530,0.85399806
0,"['planetary-science', 'space-science']",12531,0.7812073
3,"['ames-research-center', 'completed']",12532,0.6173296
5,"['completed', 'marshall-space-flig...']",12533,0.36382756
2,['Error'],12534,0.5067694
2,['completed'],12535,0.49031347
7,"['completed', 'johnson-space-center']",12536,0.36017996
1,"['comet-sl9-jupiter-c...', 'neptune', 'voyager']",12537,0.5256268
4,"['completed', 'jet-propulsion-labo...']",12538,0.5595714
6,"['67p-churyumov-geras...', 'checkout', 'international-roset...', 'solar-wind']",12539,0.6251877
3,"['ames-research-center', 'completed']",12540,0.8249674
4,"['armstrong-flight-re...', 'completed']",12541,0.38355836
0,"['mars', 'mars-exploration-rover']",12542,0.7295613
4,"['completed', 'johnson-space-center']",12543,0.5208593
5,"['completed', 'nasa-headquarters']",12544,0.49474704
6,"['saturn', 'voyager']",12545,0.60333097
2,"['completed', 'johnson-space-center']",12546,0.47778985
6,"['completed', 'jet-propulsion-labo...']",12547,0.8249891
4,"['completed', 'johnson-space-center']",12548,0.36852467
7,"['completed', 'goddard-space-fligh...']",12549,0.30589476
4,"['halley', 'vega-1']",12550,0.7807467
4,"['completed', 'johnson-space-center']",12551,0.52715796
0,"['completed', 'goddard-space-fligh...']",12552,0.37755385
4,"['earth', 'international-roset...']",12553,0.35949075
6,"['earth', 'international-roset...', 'unknown']",12554,0.6708669
0,['cassini-huygens'],12555,0.43719336
0,"['ames', 'dashlink', 'nasa']",12556,0.5472416
3,"['armstrong-flight-re...', 'completed']",12557,0.54419285
5,"['budget', 'finance', 'financial', 'performance', 'plan', 'strategic']",12558,0.828022
4,"['active', 'glenn-research-center']",12559,0.6678847
4,"['aerosol', 'depth', 'earth-science', 'optical']",12560,0.27963942
3,"['mars', 'phoenix']",12561,0.3952847
5,"['completed', 'goddard-space-fligh...']",12562,0.85397595
7,"['completed', 'marshall-space-flig...']",12563,0.5624304
4,"['completed', 'glenn-research-center']",12564,0.87934107
1,"['completed', 'goddard-space-fligh...']",12565,0.35358962
2,"['active', 'jet-propulsion-labo...']",12566,0.8240314
7,"['completed', 'goddard-space-fligh...']",12567,0.77791834
4,"['calibration', 'earth', 'mercury', 'messenger', 'venus']",12568,0.35359862
3,['active'],12569,0.3735878
6,"['active', 'ames-research-center']",12570,0.68764013
3,"['growth-protocol', 'labeling', 'magnetic-field', 'normalization-data-...', 'nucleic-acid-hybrid...', 'o2', 'rna-extraction', 'scan-protocol', 'stimulated-gravity-...', 'temperature', 'treatment-protocol']",12571,0.47527063
5,"['budget', 'finance', 'financial', 'performance', 'plan', 'strategic']",12572,0.8546854
6,"['geography', 'nen', 'space-science', 'wise']",12573,0.78122985
3,"['ames-research-center', 'completed']",12574,0.46176702
3,"['completed', 'johnson-space-center']",12575,0.5210587
5,"['completed', 'langley-research-ce...']",12576,0.29904905
6,"['earth', 'galileo']",12577,0.56361574
5,"['completed', 'goddard-space-fligh...']",12578,0.45854577
4,"['active', 'orbital-atk']",12579,0.40071487
2,"['completed', 'goddard-space-fligh...']",12580,0.9326121
4,"['active', 'langley-research-ce...']",12581,0.49286407
0,"['active', 'jet-propulsion-labo...']",12582,0.28917697
0,"['ames', 'dashlink', 'nasa']",12583,0.68754834
5,"['completed', 'langley-research-ce...']",12584,0.52103347
4,"['completed', 'johnson-space-center']",12585,0.85412174
5,"['ames-research-center', 'completed']",12586,0.53642577
0,"['mars', 'mars-exploration-rover']",12587,0.902767
7,"['completed', 'jet-propulsion-labo...']",12588,0.6094845
1,"['active', 'viasat-inc']",12589,0.38060123
4,"['active', 'university-of-color...']",12590,0.5018767
4,"['ames', 'dashlink', 'nasa']",12591,0.31605697
5,"['completed', 'langley-research-ce...']",12592,0.8249593
5,"['completed', 'stennis-space-center']",12593,0.48109642
5,"['active', 'jet-propulsion-labo...']",12594,0.54212236
0,"['jupiter', 'ulysses']",12595,0.6011042
7,"['completed', 'goddard-space-fligh...']",12596,0.3668482
3,"['ames-research-center', 'completed']",12597,0.78123826
0,"['acd', 'balloon', 'bursts', 'cgro', 'compton', 'egret', 'energy', 'fermi', 'gamma', 'gamma-ray', 'glast', 'glast-ssc', 'gro', 'gssc', 'high-energy']",12598,0.5999305
6,"['9p-tempel-1-1867-g1', 'deep-impact']",12599,0.42839727
5,"['completed', 'goddard-space-fligh...']",12600,0.5312471
7,"['completed', 'glenn-research-center']",12601,0.5191132
2,"['completed', 'jet-propulsion-labo...']",12602,0.27785426
2,"['completed', 'goddard-space-fligh...']",12603,0.5314966
3,"['ames', 'dashlink', 'nasa']",12604,0.37497535
6,"['2867-steins', 'international-roset...']",12605,0.52116054
3,"['completed', 'glenn-research-center']",12606,0.78084606
4,"['active', 'jet-propulsion-labo...']",12607,0.5530409
1,"['completed', 'goddard-space-fligh...']",12608,0.42711914
3,"['ames', 'dashlink', 'nasa']",12609,0.4566592
6,"['completed', 'langley-research-ce...']",12610,0.56107616
5,"['completed', 'glenn-research-center']",12611,0.88584393
5,"['active', 'marshall-space-flig...']",12612,0.68090695
5,"['completed', 'glenn-research-center']",12613,0.41241932
2,"['active', 'jet-propulsion-labo...']",12614,0.78089356
0,"['asteroid', 'support-archives']",12615,0.7811615
3,['active'],12616,0.7024737
3,"['ames', 'dashlink', 'nasa']",12617,0.435905
2,"['completed', 'marshall-space-flig...']",12618,0.8749072
2,"['completed', 'johnson-space-center']",12619,0.8539977
1,"['active', 'langley-research-ce...']",12620,0.5528083
4,"['completed', 'goddard-space-fligh...']",12621,0.7811658
4,"['completed', 'kennedy-space-center']",12622,0.7082915
4,"['completed', 'glenn-research-center']",12623,0.8249488
4,"['active', 'university-of-color...']",12624,0.39155984
4,"['ames-research-center', 'completed']",12625,0.38010994
2,['Error'],12626,0.35424644
6,"['active', 'jet-propulsion-labo...']",12627,0.5206271
2,"['asteroid', 'support-archives']",12628,0.7810074
4,"['completed', 'marshall-space-flig...']",12629,0.49016866
5,"['completed', 'glenn-research-center']",12630,0.7838883
3,"['completed', 'jet-propulsion-labo...']",12631,0.5312335
2,"['67p-churyumov-geras...', 'international-roset...']",12632,0.87495023
2,"['active', 'glenn-research-center']",12633,0.34018707
5,"['completed', 'glenn-research-center']",12634,0.6477949
4,"['completed', 'goddard-space-fligh...']",12635,0.62391675
3,"['completed', 'stennis-space-center']",12636,0.8749682
3,"['ames', 'dashlink', 'nasa']",12637,0.8371911
2,"['67p-churyumov-geras...', 'international-roset...']",12638,0.8541333
2,['Error'],12639,0.8518686
6,"['callisto', 'crater', 'earth', 'earth-science', 'geography', 'imagery', 'neptune', 'nomenclature', 'planetary-science', 'saturn', 'small-bodies', 'space-science', 'universe', 'wise']",12640,0.12501745
3,"['ames', 'dashlink', 'nasa']",12641,0.375814
1,"['completed', 'nasa-headquarters']",12642,0.5352995
2,"['completed', 'jet-propulsion-labo...']",12643,0.56254977
0,"['pluto', 'support-archives']",12644,0.5624595
3,"['completed', 'johnson-space-center']",12645,0.4940612
5,"['completed', 'marshall-space-flig...']",12646,0.5276978
0,"['active', 'langley-research-ce...']",12647,0.4464922
5,"['completed', 'johnson-space-center']",12648,0.34446687
5,"['completed', 'marshall-space-flig...']",12649,0.35395628
7,"['cassini-huygens', 'titan']",12650,0.37495604
0,"['deep-space-program-...', 'moon']",12651,0.4251551
4,"['completed', 'dryden-flight-resea...']",12652,0.8904938
7,"['active', 'jet-propulsion-labo...']",12653,0.5213627
3,"['ames', 'dashlink', 'nasa']",12654,0.78109264
2,"['jupiter', 'voyager']",12655,0.8540741
4,['active'],12656,0.6039652
4,"['completed', 'goddard-space-fligh...']",12657,0.61869013
2,"['active', 'goddard-space-fligh...']",12658,0.6206494
7,"['completed', 'johnson-space-center']",12659,0.2797984
4,['completed'],12660,0.7571907
6,"['mars', 'mars-global-surveyor']",12661,0.90263283
3,"['completed', 'langley-research-ce...']",12662,0.8749132
3,"['completed', 'langley-research-ce...']",12663,0.738959
4,"['completed', 'marshall-space-flig...']",12664,0.78118604
6,"['completed', 'johnson-space-center']",12665,0.38572887
6,"['completed', 'dryden-flight-resea...']",12666,0.530961
4,"['completed', 'glenn-research-center']",12667,0.62496454
4,"['completed', 'kennedy-space-center']",12668,0.87494826
0,"['mars', 'mars-exploration-rover']",12669,0.5312767
6,"['completed', 'jet-propulsion-labo...']",12670,0.4072348
5,"['completed', 'langley-research-ce...']",12671,0.52709854
6,"['calibration', 'international-roset...', 'moon']",12672,0.6035767
5,"['saturn', 'voyager']",12673,0.8249145
4,"['completed', 'goddard-space-fligh...']",12674,0.7320089
0,"['lunar-reconnaissanc...', 'moon']",12675,0.6249472
3,"['completed', 'dryden-flight-resea...']",12676,0.5944222
6,"['asteroid', 'support-archives']",12677,0.5221146
4,"['completed', 'stennis-space-center']",12678,0.54120564
3,"['ames-research-center', 'completed']",12679,0.5189279
7,"['completed', 'university-of-notre...']",12680,0.33124098
3,"['ames-research-center', 'completed']",12681,0.87494725
2,"['geography', 'nen', 'space-science', 'wise']",12682,0.7083304
4,"['active', 'langley-research-ce...']",12683,0.87492126
4,"['completed', 'goddard-space-fligh...']",12684,0.68749845
4,"['active', 'johnson-space-center']",12685,0.824915
5,"['2013', '2014', '39', 'crew', 'expedition', 'iss', 'launch', 'mission', 'press-kit', 'schedule']",12686,0.70832825
7,"['amalthea', 'callisto', 'europa', 'galileo', 'ganymede', 'io', 'io-plasma-torus', 'jupiter']",12687,0.7321297
4,"['completed', 'stennis-space-center']",12688,0.42145252
4,"['completed', 'jet-propulsion-labo...']",12689,0.5291646
5,"['active', 'glenn-research-center']",12690,0.7081623
4,"['completed', 'stennis-space-center']",12691,0.8249172
0,"['3d-model', 'cosmic-origins-spec...', 'hubble', 'spectrograph']",12692,0.4472436
4,"['active', 'nasa-headquarters']",12693,0.6672061
5,"['completed', 'jet-propulsion-labo...']",12694,0.7267042
4,"['completed', 'nasa-headquarters']",12695,0.5947241
6,"['ames', 'dashlink', 'nasa']",12696,0.34181294
2,"['active', 'glenn-research-center']",12697,0.4817877
0,"['mars', 'phoenix']",12698,0.49859264
0,"['ames', 'dashlink', 'nasa']",12699,0.1250483
4,"['apollo-17', 'moon']",12700,0.38896123
1,"['132524-apl', 'calibration', 'new-horizons']",12701,0.6208835
4,"['completed', 'jet-propulsion-labo...']",12702,0.3819865
7,"['active', 'stanford-university']",12703,0.4007729
5,"['ames', 'dashlink', 'nasa']",12704,0.8081119
3,"['completed', 'glenn-research-center']",12705,0.51254785
7,"['galileo', 'gaspra']",12706,0.89057875
4,"['completed', 'glenn-research-center']",12707,0.49787378
4,"['completed', 'goddard-space-fligh...']",12708,0.853971
2,"['calibration', 'earth', 'mercury', 'messenger', 'venus']",12709,0.48025423
4,"['active', 'ames-research-center']",12710,0.5313417
4,"['armstrong-flight-re...', 'completed']",12711,0.54576975
2,"['completed', 'goddard-space-fligh...']",12712,0.60893667
4,"['completed', 'langley-research-ce...']",12713,0.6148983
4,"['ames', 'dashlink', 'nasa']",12714,0.7082091
2,"['completed', 'langley-research-ce...']",12715,0.48822913
0,"['halley', 'vega-2']",12716,0.4827776
5,['active'],12717,0.8113893
7,"['completed', 'glenn-research-center']",12718,0.6961442
4,"['completed', 'marshall-space-flig...']",12719,0.76859564
4,"['completed', 'jet-propulsion-labo...']",12720,0.7811897
5,"['completed', 'johnson-space-center']",12721,0.48472175
4,['completed'],12722,0.39490107
7,"['completed', 'marshall-space-flig...']",12723,0.4653059
3,"['ames', 'dashlink', 'nasa']",12724,0.6970049
5,"['completed', 'johnson-space-center']",12725,0.50711524
4,"['completed', 'jet-propulsion-labo...']",12726,0.7446091
7,"['completed', 'glenn-research-center']",12727,0.48679024
4,"['completed', 'dryden-flight-resea...']",12728,0.41918087
4,"['completed', 'dryden-flight-resea...']",12729,0.48049498
4,"['completed', 'johnson-space-center']",12730,0.8589972
3,"['completed', 'glenn-research-center']",12731,0.625063
4,"['active', 'langley-research-ce...']",12732,0.82494617
4,"['completed', 'goddard-space-fligh...']",12733,0.781125
7,"['active', 'jet-propulsion-labo...']",12734,0.6249159
2,"['2867-steins', '9p-tempel-1-1867-g1', 'calibration', 'international-roset...']",12735,0.5568788
