topic,sub_topic,dataset_id,topic_confidence,sub_topic_confidence
3,2,12485,0.30409032,0.86591506
5,2,12486,0.6381008,0.98259526
3,1,12487,0.52686065,0.5834506
6,2,12488,0.77924794,0.9909624
4,2,12489,0.708208,0.98732483
5,2,12490,0.5372485,0.9908515
6,2,12491,0.37934738,0.9666649
5,0,12492,0.38688287,0.9429491
5,2,12493,0.68773407,0.9807439
3,2,12494,0.61920494,0.9830456
5,0,12495,0.87491626,0.5321516
4,2,12496,0.82488,0.98666424
0,0,12497,0.7798979,0.33333334
2,2,12498,0.78114206,0.9951853
0,0,12499,0.506994,0.6562922
2,2,12500,0.638642,0.84407896
1,2,12501,0.54052556,0.9931953
5,2,12502,0.36592206,0.9931193
1,2,12503,0.51638174,0.66278285
5,2,12504,0.68509316,0.99095243
1,0,12505,0.65287244,0.9083075
0,1,12506,0.8749795,0.6660123
4,2,12507,0.5763192,0.993768
0,2,12508,0.44867408,0.9240511
3,2,12509,0.52432346,0.8310031
7,0,12510,0.52231187,0.33333334
2,0,12511,0.49545288,0.33333334
7,2,12512,0.87492466,0.73336697
5,2,12513,0.28610796,0.99586964
4,2,12514,0.38279867,0.8114611
5,2,12515,0.5338912,0.9972938
5,2,12516,0.39582893,0.9832091
5,2,12517,0.8381502,0.9826622
2,1,12518,0.7083304,0.9757009
3,2,12519,0.8248185,0.94931114
0,0,12520,0.7638209,0.33333334
4,2,12521,0.6588035,0.9905745
5,2,12522,0.36053538,0.9889555
2,0,12523,0.8249162,0.5255333
4,2,12524,0.47392938,0.7770867
1,1,12525,0.78123826,0.9403249
7,2,12526,0.32708552,0.94229096
4,2,12527,0.46041936,0.98751545
4,2,12528,0.5324486,0.86214566
3,0,12529,0.5245318,0.83880574
3,2,12530,0.85399806,0.95120525
0,2,12531,0.7812073,0.7999284
3,2,12532,0.6173296,0.83842224
5,2,12533,0.36382756,0.99307376
2,2,12534,0.5067694,0.9443729
2,2,12535,0.49031347,0.9968005
7,2,12536,0.36017996,0.9821144
1,2,12537,0.5256268,0.6384125
4,2,12538,0.5595714,0.99362975
6,1,12539,0.6251877,0.49547514
3,2,12540,0.8249674,0.95358664
4,2,12541,0.38355836,0.9926119
0,0,12542,0.7295613,0.33333334
4,2,12543,0.5208593,0.8864057
5,0,12544,0.49474704,0.33333334
6,0,12545,0.60333097,0.33333334
2,2,12546,0.47778985,0.9520639
6,2,12547,0.8249891,0.9722539
4,2,12548,0.36852467,0.9941112
7,2,12549,0.30589476,0.9001043
4,2,12550,0.7807467,0.57356465
4,2,12551,0.52715796,0.9869418
0,2,12552,0.37755385,0.9838826
4,1,12553,0.35949075,0.9043947
6,1,12554,0.6708669,0.6415323
0,2,12555,0.43719336,0.6096926
0,2,12556,0.5472416,0.96859443
3,2,12557,0.54419285,0.99279857
5,2,12558,0.828022,0.6078942
4,2,12559,0.6678847,0.993526
4,2,12560,0.27963942,0.726493
3,0,12561,0.3952847,0.56430554
5,2,12562,0.85397595,0.991891
7,2,12563,0.5624304,0.9909634
4,2,12564,0.87934107,0.9941603
1,2,12565,0.35358962,0.5891669
2,2,12566,0.8240314,0.97458106
7,2,12567,0.77791834,0.87928325
4,1,12568,0.35359862,0.49905166
3,2,12569,0.3735878,0.99711806
6,2,12570,0.68764013,0.94771683
3,2,12571,0.47527063,0.8853027
5,2,12572,0.8546854,0.60786355
6,1,12573,0.78122985,0.97569287
3,2,12574,0.46176702,0.9787182
3,2,12575,0.5210587,0.9946723
5,2,12576,0.29904905,0.990926
6,1,12577,0.56361574,0.72082996
5,2,12578,0.45854577,0.8604185
4,2,12579,0.40071487,0.9825493
2,2,12580,0.9326121,0.9746553
4,2,12581,0.49286407,0.8028768
0,2,12582,0.28917697,0.90919507
0,2,12583,0.68754834,0.98849136
5,2,12584,0.52103347,0.66639405
4,2,12585,0.85412174,0.99279904
5,2,12586,0.53642577,0.9935652
0,0,12587,0.902767,0.33333334
7,2,12588,0.6094845,0.99155843
1,1,12589,0.38060123,0.6657196
4,2,12590,0.5018767,0.9962569
4,0,12591,0.31605697,0.33333334
5,2,12592,0.8249593,0.6899974
5,2,12593,0.48109642,0.99142754
5,2,12594,0.54212236,0.99338734
0,0,12595,0.6011042,0.5674886
7,2,12596,0.3668482,0.6102197
3,2,12597,0.78123826,0.9922226
0,0,12598,0.5999305,0.90353686
6,0,12599,0.42839727,0.6696896
5,2,12600,0.5312471,0.9705718
7,2,12601,0.5191132,0.97766864
2,2,12602,0.27785426,0.7775737
2,2,12603,0.5314966,0.72322804
3,0,12604,0.37497535,0.33333334
6,1,12605,0.52116054,0.81001824
3,2,12606,0.78084606,0.93658
4,2,12607,0.5530409,0.9656452
1,2,12608,0.42711914,0.6164528
3,2,12609,0.4566592,0.5262627
6,2,12610,0.56107616,0.9919168
5,2,12611,0.88584393,0.99198616
5,2,12612,0.68090695,0.9910203
5,2,12613,0.41241932,0.97272426
2,2,12614,0.78089356,0.89270765
0,0,12615,0.7811615,0.7874359
3,2,12616,0.7024737,0.9968193
3,0,12617,0.435905,0.7461285
2,2,12618,0.8749072,0.993763
2,2,12619,0.8539977,0.9906259
1,2,12620,0.5528083,0.98868614
4,2,12621,0.7811658,0.99078894
4,2,12622,0.7082915,0.99801177
4,2,12623,0.8249488,0.9928094
4,2,12624,0.39155984,0.9971629
4,2,12625,0.38010994,0.9901022
2,0,12626,0.35424644,0.7864271
6,2,12627,0.5206271,0.99059594
2,0,12628,0.7810074,0.9542572
4,2,12629,0.49016866,0.9907351
5,2,12630,0.7838883,0.99136716
3,2,12631,0.5312335,0.943608
2,1,12632,0.87495023,0.95249337
2,2,12633,0.34018707,0.9928489
5,2,12634,0.6477949,0.968138
4,2,12635,0.62391675,0.98226273
3,2,12636,0.8749682,0.5554568
3,2,12637,0.8371911,0.64597046
2,1,12638,0.8541333,0.9522937
2,2,12639,0.8518686,0.97003657
6,0,12640,0.12501745,0.6570492
3,0,12641,0.375814,0.86097133
1,2,12642,0.5352995,0.9799891
2,2,12643,0.56254977,0.85598063
0,0,12644,0.5624595,0.90637046
3,2,12645,0.4940612,0.9936582
5,2,12646,0.5276978,0.777343
0,2,12647,0.4464922,0.98522854
5,2,12648,0.34446687,0.97671413
5,2,12649,0.35395628,0.9889725
7,1,12650,0.37495604,0.66600996
0,0,12651,0.4251551,0.5602469
4,2,12652,0.8904938,0.92911255
7,2,12653,0.5213627,0.9906373
3,2,12654,0.78109264,0.98962694
2,0,12655,0.8540741,0.9199104
4,2,12656,0.6039652,0.9589851
4,2,12657,0.61869013,0.8298249
2,2,12658,0.6206494,0.98453933
7,2,12659,0.2797984,0.9656377
4,2,12660,0.7571907,0.994276
6,0,12661,0.90263283,0.37795356
3,2,12662,0.8749132,0.86608213
3,2,12663,0.738959,0.9913056
4,2,12664,0.78118604,0.9917557
6,2,12665,0.38572887,0.95402485
6,2,12666,0.530961,0.9808061
4,2,12667,0.62496454,0.9946981
4,2,12668,0.87494826,0.83625627
0,1,12669,0.5312767,0.63404596
6,2,12670,0.4072348,0.9568322
5,2,12671,0.52709854,0.85066473
6,1,12672,0.6035767,0.94435513
5,0,12673,0.8249145,0.33333334
4,2,12674,0.7320089,0.99347275
0,0,12675,0.6249472,0.5851415
3,2,12676,0.5944222,0.99053705
6,2,12677,0.5221146,0.5263594
4,2,12678,0.54120564,0.9558476
3,2,12679,0.5189279,0.9085506
7,2,12680,0.33124098,0.98933893
3,2,12681,0.87494725,0.9278463
2,1,12682,0.7083304,0.9757025
4,2,12683,0.87492126,0.96933025
4,2,12684,0.68749845,0.9893872
4,2,12685,0.824915,0.98495924
5,1,12686,0.70832825,0.95591366
7,0,12687,0.7321297,0.43116763
4,2,12688,0.42145252,0.9808116
4,2,12689,0.5291646,0.7744134
5,2,12690,0.7081623,0.99105006
4,2,12691,0.8249172,0.9904946
0,0,12692,0.4472436,0.76964855
4,2,12693,0.6672061,0.75140685
5,2,12694,0.7267042,0.9908779
4,0,12695,0.5947241,0.33333334
6,2,12696,0.34181294,0.7408913
2,2,12697,0.4817877,0.9935911
0,1,12698,0.49859264,0.6660127
0,2,12699,0.1250483,0.95933163
4,0,12700,0.38896123,0.5493696
1,1,12701,0.6208835,0.93958634
4,2,12702,0.3819865,0.9872422
7,2,12703,0.4007729,0.99436235
5,2,12704,0.8081119,0.99056786
3,2,12705,0.51254785,0.9748913
7,1,12706,0.89057875,0.6660124
4,2,12707,0.49787378,0.93180835
4,2,12708,0.853971,0.9813123
2,1,12709,0.48025423,0.4347986
4,2,12710,0.5313417,0.9947916
4,2,12711,0.54576975,0.9920771
2,2,12712,0.60893667,0.97997624
4,2,12713,0.6148983,0.99272704
4,2,12714,0.7082091,0.6070551
2,2,12715,0.48822913,0.9919675
0,0,12716,0.4827776,0.9756629
5,2,12717,0.8113893,0.9839805
7,2,12718,0.6961442,0.9912866
4,2,12719,0.76859564,0.9896554
4,2,12720,0.7811897,0.99145395
5,2,12721,0.48472175,0.9894304
4,0,12722,0.39490107,0.5897699
7,2,12723,0.4653059,0.99234223
3,2,12724,0.6970049,0.98269814
5,2,12725,0.50711524,0.9921844
4,2,12726,0.7446091,0.9620191
7,2,12727,0.48679024,0.99032265
4,2,12728,0.41918087,0.99114966
4,2,12729,0.48049498,0.9769651
4,2,12730,0.8589972,0.99235797
3,2,12731,0.625063,0.99044216
4,2,12732,0.82494617,0.9026817
4,2,12733,0.781125,0.97140765
7,2,12734,0.6249159,0.9931
2,1,12735,0.5568788,0.9354937
2,2,12736,0.6087494,0.9949359
3,2,12737,0.60495645,0.7779812
2,2,12738,0.6100954,0.9936495
2,2,12739,0.49249682,0.69367737
4,2,12740,0.3770464,0.9774128
4,2,12741,0.39392176,0.99341416
4,2,12742,0.75217855,0.9461413
4,2,12743,0.8248939,0.99172175
7,0,12744,0.37901533,0.7396754
3,2,12745,0.7810967,0.96776897
2,0,12746,0.60961765,0.71819586
1,2,12747,0.29149026,0.9796718
6,2,12748,0.562134,0.9923392
0,0,12749,0.70825124,0.63808984
0,0,12750,0.76366436,0.33333334
4,2,12751,0.9203987,0.9181338
4,2,12752,0.39632085,0.9931039
4,2,12753,0.4894935,0.98437196
0,1,12754,0.5570237,0.5498214
3,2,12755,0.7083118,0.99207354
5,2,12756,0.8906179,0.607921
0,2,12757,0.78083104,0.7690073
0,0,12758,0.7811389,0.97101086
6,1,12759,0.78122866,0.9466961
4,2,12760,0.46284822,0.9716044
6,0,12761,0.82497025,0.5979568
1,1,12762,0.82496583,0.9338055
7,0,12763,0.7811329,0.79115605
3,2,12764,0.48764592,0.99089277
2,2,12765,0.47456378,0.9878427
3,2,12766,0.47455773,0.89965427
2,2,12767,0.46852332,0.9426619
0,2,12768,0.5207867,0.9916046
6,2,12769,0.42498437,0.77541417
2,2,12770,0.52650064,0.66230047
7,2,12771,0.5213592,0.9879745
3,2,12772,0.6391958,0.98574805
4,2,12773,0.8627751,0.9917662
5,2,12774,0.9027721,0.60790133
7,2,12775,0.8249216,0.9923995
2,2,12776,0.68752253,0.99104756
2,2,12777,0.7320598,0.98786354
5,2,12778,0.46413267,0.7736352
1,0,12779,0.8905952,0.98135173
4,2,12780,0.70826656,0.9394108
4,2,12781,0.5065564,0.9205837
4,2,12782,0.62715787,0.991086
2,2,12783,0.4499199,0.99140865
4,2,12784,0.5786199,0.98813695
7,2,12785,0.46225765,0.9431922
2,2,12786,0.5917727,0.9917785
5,2,12787,0.7148407,0.9883196
7,2,12788,0.52289605,0.6617047
3,2,12789,0.41333917,0.9911255
3,2,12790,0.8540134,0.9909655
4,2,12791,0.5083223,0.9896101
4,2,12792,0.52509135,0.83027923
5,2,12793,0.8906007,0.9828662
5,2,12794,0.68840665,0.88755524
4,2,12795,0.6250129,0.9880969
4,2,12796,0.72357947,0.8706474
5,2,12797,0.47893003,0.98968446
4,0,12798,0.8222716,0.33333334
4,2,12799,0.48571715,0.8775449
4,2,12800,0.5134934,0.9731381
2,2,12801,0.70681864,0.99238783
4,2,12802,0.52781034,0.9446247
2,0,12803,0.89048386,0.8112929
1,0,12804,0.8905953,0.9813512
3,2,12805,0.4014683,0.97609365
0,2,12806,0.5217395,0.95879006
0,2,12807,0.62501734,0.99114805
2,2,12808,0.62487245,0.9794262
0,0,12809,0.7903691,0.33333334
7,2,12810,0.5086101,0.9885063
6,0,12811,0.85396254,0.33333334
1,1,12812,0.85414076,0.93975526
2,0,12813,0.4251634,0.7142092
5,0,12814,0.66264045,0.33333334
2,2,12815,0.4817955,0.9963504
7,2,12816,0.66473395,0.9926266
2,2,12817,0.3358284,0.9699518
4,0,12818,0.40735626,0.7002525
4,2,12819,0.5044382,0.9894679
7,2,12820,0.52456886,0.990793
1,2,12821,0.46165147,0.99108016
2,1,12822,0.6797005,0.9002723
5,2,12823,0.54604465,0.6993034
7,2,12824,0.51642597,0.9876453
3,2,12825,0.5156796,0.98454136
2,2,12826,0.5437828,0.9920586
7,2,12827,0.51051545,0.82822764
4,2,12828,0.42817557,0.8883948
3,2,12829,0.8003098,0.86519074
1,0,12830,0.85410815,0.9813513
5,2,12831,0.34867376,0.9926676
4,2,12832,0.44064283,0.99287015
5,2,12833,0.68042123,0.7771453
2,2,12834,0.85408413,0.99124527
3,2,12835,0.3696625,0.9881702
0,2,12836,0.4314456,0.9403259
6,2,12837,0.52741003,0.99272484
4,2,12838,0.912453,0.9934705
1,1,12839,0.49904102,0.92967224
3,2,12840,0.5438158,0.9812207
1,0,12841,0.87496126,0.98135173
4,2,12842,0.64433956,0.9742684
4,2,12843,0.7229128,0.9818503
2,0,12844,0.50533175,0.34810647
0,0,12845,0.7082424,0.71935296
7,2,12846,0.49543864,0.9038462
1,2,12847,0.30279484,0.93990445
4,2,12848,0.57707536,0.9933009
0,2,12849,0.5494508,0.9645027
3,2,12850,0.61111444,0.8775084
4,2,12851,0.46458003,0.9935731
3,1,12852,0.7011954,0.7669102
2,1,12853,0.7083304,0.97569704
4,2,12854,0.61982876,0.99061227
1,0,12855,0.6692974,0.9834931
6,1,12856,0.482036,0.578803
5,2,12857,0.91218615,0.9905295
5,2,12858,0.60446256,0.9941844
5,2,12859,0.3940719,0.9910074
5,2,12860,0.9026233,0.99366844
3,0,12861,0.46011856,0.33333334
7,2,12862,0.42539287,0.9906071
4,2,12863,0.6790433,0.90804094
2,1,12864,0.8248567,0.9354937
1,2,12865,0.6872283,0.971895
2,2,12866,0.8248671,0.9903003
3,2,12867,0.40789327,0.98569167
6,2,12868,0.42499113,0.8631267
1,0,12869,0.49682906,0.979696
2,2,12870,0.8748196,0.98317593
7,2,12871,0.43023568,0.9833959
2,2,12872,0.58098656,0.75934845
2,2,12873,0.82485175,0.97934496
7,2,12874,0.38382378,0.9807553
0,0,12875,0.7811395,0.9722432
5,2,12876,0.44491252,0.92971003
2,0,12877,0.48279482,0.56431746
5,2,12878,0.3428964,0.9917051
5,2,12879,0.4728631,0.9731001
2,2,12880,0.7339088,0.90710187
3,2,12881,0.5297895,0.9503661
6,1,12882,0.88383335,0.7424295
4,2,12883,0.5715344,0.994956
6,2,12884,0.61888397,0.56841564
4,2,12885,0.708235,0.9908459
2,2,12886,0.85399187,0.99118406
2,2,12887,0.4246504,0.9934809
4,2,12888,0.36344925,0.8314605
2,0,12889,0.85414946,0.5373216
5,2,12890,0.7493205,0.9934101
1,2,12891,0.40528277,0.9319615
1,2,12892,0.7081914,0.99109566
7,2,12893,0.264266,0.99494964
4,2,12894,0.4547088,0.99252963
2,2,12895,0.46087605,0.99634254
1,2,12896,0.5623054,0.98675007
6,0,12897,0.8249648,0.9612207
2,2,12898,0.52006394,0.997621
2,2,12899,0.45219195,0.9921655
4,0,12900,0.6702842,0.33333334
1,2,12901,0.63843673,0.73353946
6,1,12902,0.8249857,0.6739302
6,0,12903,0.8249846,0.8828176
5,2,12904,0.56478536,0.98926836
0,2,12905,0.35655546,0.9890405
2,0,12906,0.4042656,0.7508653
2,0,12907,0.70820385,0.8560269
6,0,12908,0.5412992,0.74769217
5,2,12909,0.5477312,0.993474
4,2,12910,0.5083247,0.98941016
4,2,12911,0.5423311,0.99140155
0,2,12912,0.5602412,0.85309905
7,1,12913,0.2818798,0.66601235
3,2,12914,0.4122623,0.5680967
5,2,12915,0.50818783,0.9423348
2,1,12916,0.63565564,0.9412367
4,2,12917,0.7403691,0.9956854
0,2,12918,0.5315009,0.9731516
4,2,12919,0.3645822,0.9431523
6,0,12920,0.45400697,0.6704925
2,2,12921,0.8496738,0.99419874
2,1,12922,0.45230132,0.7856669
1,2,12923,0.5658043,0.89644367
6,0,12924,0.87498266,0.51344585
4,2,12925,0.8786196,0.99504495
4,2,12926,0.74331164,0.9935659
4,2,12927,0.66585815,0.9950503
4,2,12928,0.6246596,0.9947074
4,2,12929,0.777731,0.76832867
4,2,12930,0.36843723,0.9476991
3,2,12931,0.7508247,0.9907819
4,2,12932,0.51381487,0.9898302
6,1,12933,0.61401767,0.52433753
3,2,12934,0.6827337,0.86369073
2,2,12935,0.58778316,0.87037253
3,2,12936,0.7555944,0.9547053
6,1,12937,0.7811947,0.95663244
3,2,12938,0.47756702,0.6962577
4,2,12939,0.49307644,0.9942389
0,0,12940,0.7295595,0.33333334
4,2,12941,0.34924838,0.9888885
4,2,12942,0.7810746,0.9925396
4,2,12943,0.874957,0.866419
3,2,12944,0.4840921,0.9887705
4,2,12945,0.48170745,0.9820967
4,2,12946,0.59926116,0.9931654
4,2,12947,0.68551105,0.9767273
1,2,12948,0.48639467,0.93205786
5,2,12949,0.44392172,0.88838166
2,2,12950,0.5232576,0.98668855
5,2,12951,0.44117075,0.9845671
5,2,12952,0.47330624,0.9552138
4,0,12953,0.44965366,0.5166481
3,2,12954,0.46964052,0.9921576
1,2,12955,0.68845433,0.9906687
1,2,12956,0.5642988,0.9919873
6,2,12957,0.12501776,0.97462946
6,1,12958,0.4563478,0.6515383
6,0,12959,0.82490456,0.33333334
6,1,12960,0.88383347,0.837711
4,2,12961,0.5289862,0.98665184
0,2,12962,0.82496804,0.9414807
1,0,12963,0.8249177,0.981351
2,0,12964,0.51664877,0.6174341
4,2,12965,0.5054665,0.9931956
7,2,12966,0.3823811,0.6931003
3,2,12967,0.44328046,0.9925643
4,2,12968,0.4035925,0.9823338
2,2,12969,0.702142,0.9932517
1,1,12970,0.72268623,0.5775373
5,2,12971,0.5349065,0.8841312
3,2,12972,0.5283883,0.8240199
6,2,12973,0.78098696,0.9948974
7,1,12974,0.521911,0.66601163
3,2,12975,0.4234814,0.8831118
6,2,12976,0.75494194,0.5624591
3,2,12977,0.85406613,0.9910087
4,2,12978,0.3930949,0.98247015
3,2,12979,0.7273541,0.9592886
0,2,12980,0.85397345,0.9765946
5,2,12981,0.45009866,0.9110569
4,2,12982,0.6246377,0.98204905
5,2,12983,0.5809865,0.9914113
2,2,12984,0.47780713,0.98989123
4,2,12985,0.48335594,0.9848754
6,1,12986,0.53122616,0.61314243
5,2,12987,0.48231006,0.9563617
4,2,12988,0.6343806,0.99126816
5,0,12989,0.26564956,0.6654499
4,0,12990,0.8540218,0.8199362
4,2,12991,0.5513849,0.9920887
7,2,12992,0.7809888,0.9915806
2,2,12993,0.4765302,0.9773938
3,2,12994,0.8248613,0.86490256
7,0,12995,0.70803607,0.9294035
2,1,12996,0.43452612,0.80125177
2,2,12997,0.4249916,0.9964519
4,2,12998,0.7950653,0.9984033
4,2,12999,0.6163865,0.99103487
5,2,13000,0.8905108,0.9916146
7,0,13001,0.6874491,0.91288036
4,2,13002,0.7918332,0.83052874
2,0,13003,0.49558473,0.47375712
3,2,13004,0.45392916,0.8648989
6,2,13005,0.23370703,0.9914081
4,2,13006,0.38567606,0.9938855
1,2,13007,0.60506094,0.67340386
4,2,13008,0.8249574,0.99524313
1,2,13009,0.2803285,0.99136865
4,2,13010,0.56223613,0.9651377
7,2,13011,0.53117263,0.9814331
4,2,13012,0.82491595,0.9917455
7,2,13013,0.7403361,0.5700919
3,2,13014,0.68272537,0.8636863
7,2,13015,0.6875678,0.9904383
1,1,13016,0.82487947,0.9400333
4,2,13017,0.8248673,0.97830564
1,1,13018,0.53084284,0.44484445
5,2,13019,0.4001275,0.9885605
1,1,13020,0.48156404,0.94794476
4,2,13021,0.7812202,0.9742686
5,2,13022,0.62017137,0.9936243
7,2,13023,0.8248456,0.9938854
6,2,13024,0.8075356,0.95686823
3,2,13025,0.41149923,0.97746855
